year,stocks,bonds,cash,inflation
1970,0.035600,0.167500,0.063900,0.058837
1971,0.142200,0.097900,0.043300,0.042266
1972,0.187600,0.028200,0.040600,0.032730
1973,-0.143100,0.036600,0.070400,0.062587
1974,-0.259000,0.019900,0.078500,0.110111
1975,0.370000,0.036100,0.057900,0.091416
1976,0.238300,0.159800,0.049800,0.057749
1977,-0.069800,0.012900,0.052600,0.064696
1978,0.065100,-0.007800,0.071800,0.076299
1979,0.185200,0.006700,0.100500,0.112530
1980,0.317400,-0.029900,0.113900,0.135017
1981,-0.047000,0.082000,0.140400,0.103783
1982,0.204200,0.328100,0.110900,0.061584
1983,0.223400,0.032000,0.089500,0.031595
1984,0.061500,0.137300,0.099200,0.043682
1985,0.312400,0.257100,0.077200,0.035279
1986,0.184900,0.242800,0.061500,0.019439
1987,0.058100,-0.049600,0.059600,0.035782
1988,0.165400,0.082200,0.068900,0.041000
1989,0.314800,0.176900,0.083900,0.047911
1990,-0.030600,0.062400,0.077500,0.054192
1991,0.302300,0.150000,0.055400,0.042158
1992,0.074900,0.093600,0.035100,0.030416
1993,0.099700,0.142100,0.030700,0.029697
1994,0.013300,-0.080400,0.043700,0.025956
1995,0.372000,0.234800,0.056600,0.028054
1996,0.226800,0.014300,0.051500,0.029367
1997,0.331000,0.099400,0.052000,0.023376
1998,0.283400,0.149200,0.049100,0.015470
1999,0.208900,-0.082500,0.047800,0.021931
2000,-0.090300,0.166600,0.060000,0.033667
2001,-0.118500,0.055700,0.034800,0.028166
2002,-0.219700,0.151200,0.016400,0.015957
2003,0.283600,0.003800,0.010300,0.022980
2004,0.107400,0.044900,0.014000,0.026676
2005,0.048300,0.028700,0.032200,0.033658
2006,0.156100,0.019600,0.048500,0.032221
2007,0.054800,0.102100,0.044800,0.028706
2008,-0.365500,0.201000,0.014000,0.038150
2009,0.259400,-0.111200,0.001500,-0.003204
2010,0.148200,0.084600,0.001400,0.016366
2011,0.021000,0.160400,0.000500,0.031397
2012,0.158900,0.029700,0.000900,0.020732
2013,0.321500,-0.091000,0.000600,0.014660
2014,0.135200,0.107500,0.000300,0.016155
2015,0.013800,0.012800,0.000500,0.001211
2016,0.117700,0.006900,0.003200,0.012674
2017,0.216100,0.028000,0.009500,0.021314
2018,-0.042300,-0.000200,0.019700,0.024390
2019,0.312100,0.096400,0.021100,0.018133
2020,0.180200,0.113300,0.003600,0.012529
2021,0.284700,-0.044200,0.000400,0.046812
2022,-0.180400,-0.178300,0.020900,0.079908
2023,0.260600,0.038800,0.052800,0.041270
2024,0.248800,-0.016400,0.051800,0.029521
2025,0.177800,0.078000,0.042100,0.026343
